Reference, Value, Footprint, Datasheet
"P2","CONN_02X25","Pin_Headers:Pin_Header_Straight_2x25_Pitch2.00mm",""
"P3","CONN_02X25","Pin_Headers:Pin_Header_Straight_2x25_Pitch2.00mm",""
"P1","CONN_01X25","Pin_Headers:Pin_Header_Straight_1x25_Pitch2.00mm",""
"U1","TXB0108PW","Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm",""
"C1","0.1u","Capacitors_SMD:C_0603",""
"C2","0.1u","Capacitors_SMD:C_0603",""
"JP1","Jumper_NC_Dual","Connect:GS3",""
"R2","10k","Resistors_SMD:R_0603",""
"R1","10k","Resistors_SMD:R_0603",""
"U2","PCAL9555APW","Housings_SSOP:TSSOP-24_4.4x7.8mm_Pitch0.65mm",""
"P7","CONN_01X04","Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight",""
"D2","LED","LEDs:LED_0603",""
"R9","R","Resistors_SMD:R_0603",""
"D3","LED","LEDs:LED_0603",""
"R10","R","Resistors_SMD:R_0603",""
"D4","LED","LEDs:LED_0603",""
"R11","R","Resistors_SMD:R_0603",""
"D1","LED","LEDs:LED_0603",""
"R8","R","Resistors_SMD:R_0603",""
"C4","0.1u","Capacitors_SMD:C_0603",""
"JP4","Jumper_NC_Dual","Connect:GS3",""
"JP5","Jumper_NC_Dual","Connect:GS3",""
"JP7","Jumper_NC_Dual","Connect:GS3",""
"U3","TXB0108PW","Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm",""
"C5","0.1u","Capacitors_SMD:C_0603",""
"C3","0.1u","Capacitors_SMD:C_0603",""
"R5","10k","Resistors_SMD:R_0603",""
"JP8","Jumper_NC_Dual","Connect:GS3",""
"P10","CONN_01X10","Connectors_JST:JST_XH_B10B-XH-A_10x2.50mm_Straight",""
"P8","CONN_01X04","Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight",""
"R3","4.7k","Resistors_SMD:R_0603",""
"R4","4.7k","Resistors_SMD:R_0603",""
"R7","4.7k","Resistors_SMD:R_0603",""
"R6","4.7k","Resistors_SMD:R_0603",""
"JP2","Jumper_NC_Dual","Connect:GS3",""
"P5","CONN_01X04","Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight",""
"P6","CONN_01X04","Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight",""
"JP3","Jumper_NC_Dual","Connect:GS3",""
"JP6","Jumper_NC_Dual","Connect:GS3",""
"P9","CONN_02X10","Connectors_Multicomp:Multicomp_MC9A12-2034_2x10x2.54mm_Straight",""
"P4","CONN_01X01","Pin_Headers:Pin_Header_Straight_1x01",""
"R12","4.7k","Resistors_SMD:R_0603",""
"R13","4.7k","Resistors_SMD:R_0603",""
"R15","4.7k","Resistors_SMD:R_0603",""
"R16","4.7k","Resistors_SMD:R_0603",""
"U4","PCA9306","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm",""
"C6","0.1u","Capacitors_SMD:C_0603",""
"C7","0.1u","Capacitors_SMD:C_0603",""
"R14","200k","Resistors_SMD:R_0603",""
"R17","4.7k","Resistors_SMD:R_0603",""
"R18","4.7k","Resistors_SMD:R_0603",""
"R20","4.7k","Resistors_SMD:R_0603",""
"R21","4.7k","Resistors_SMD:R_0603",""
"U5","PCA9306","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm",""
"C8","0.1u","Capacitors_SMD:C_0603",""
"C9","0.1u","Capacitors_SMD:C_0603",""
"R19","200k","Resistors_SMD:R_0603",""
"U6","MCP25625-E/SS","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm",""
"C13","22p","Capacitors_SMD:C_0603",""
"C14","22p","Capacitors_SMD:C_0603",""
"R22","120","Resistors_SMD:R_0603",""
"P11","CONN_01X02","Pin_Headers:Pin_Header_Straight_1x02",""
"C11","0.1u","Capacitors_SMD:C_0603",""
"C10","0.1u","Capacitors_SMD:C_0603",""
"C12","0.1u","Capacitors_SMD:C_0603",""
"P12","CONN_01X03","Pin_Headers:Pin_Header_Straight_1x03",""
"J1","Screw_Terminal_1x02","Terminal_Blocks:TerminalBlock_Pheonix_MKDS1.5-2pol",""
"Y1","16MHz","Crystals:Crystal_HC49-U_Vertical",""
"R23","4.7k","Resistors_SMD:R_0603",""
"R24","4.7k","Resistors_SMD:R_0603",""
"R26","4.7k","Resistors_SMD:R_0603",""
"R27","4.7k","Resistors_SMD:R_0603",""
"U7","PCA9306","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm",""
"C15","0.1u","Capacitors_SMD:C_0603",""
"C16","0.1u","Capacitors_SMD:C_0603",""
"R25","200k","Resistors_SMD:R_0603",""
